date,fix_mid,intrinsic_v1,intrinsic_v2,naive_rw,err_v2,err_rw,ret_basket,kf_state
2023-08-11,3.0885,3.080538291517337,3.0815832891944455,3.0808,0.006916710805554338,0.007699999999999818,-8.495183041012109e-05,0.001044997677108435
2023-08-14,3.0974,3.0867896626648004,3.086575205147447,3.0885,0.010824794852553055,0.00890000000000013,-0.0005539294421353866,-0.00021445751735367892
2023-08-15,3.0994,3.097567280806023,3.0969474141741267,3.0974,0.002452585825873488,0.002000000000000224,5.400538807755564e-05,-0.0006198666318962848
2023-08-16,3.102,3.0983365474172735,3.099040928679196,3.0994,0.0029590713208040853,0.0025999999999997137,-0.00034317450734710933,0.0007043812619221714
2023-08-17,3.1061,3.102651939810765,3.102179617401265,3.102,0.003920382598735284,0.004100000000000215,0.00021014549067022224,-0.0004723224095001049
2023-08-18,3.11165,3.1069049220299965,3.107720726266352,3.1061,0.003929273733648042,0.005549999999999944,0.00025910877090917154,0.000815804236355732
2023-08-21,3.103,3.1133833350660556,3.1127520340180643,3.11165,-0.009752034018064126,-0.008649999999999824,0.0005568918325588284,-0.0006313010479911834
2023-08-22,3.107,3.103725017649865,3.1052890836617895,3.103,0.001710916338210744,0.0040000000000000036,0.0002336232557751376,0.0015640660119243975
2023-08-23,3.1218,3.1077349202569033,3.104480480356531,3.107,0.017319519643468784,0.014799999999999702,0.00023650896450416387,-0.0032544399003721575
2023-08-24,3.1132,3.123472400139269,3.118781926234812,3.1218,-0.00558192623481224,-0.008599999999999941,0.000535573173463957,-0.004690473904456736
2023-08-25,3.1224,3.1131055419011604,3.109661909287332,3.1132,0.012738090712667738,0.009199999999999875,-3.0341620150502307e-05,-0.0034436326138284692
2023-08-28,3.12415,3.1242384330961093,3.1222016611747754,3.1224,0.0019483388252248268,0.0017500000000003624,0.0005886151948378377,-0.002036771921333745
2023-08-29,3.1239,3.1243202786860373,3.1211265634801064,3.12415,0.0027734365198934796,-0.00025000000000030553,5.450251933185988e-05,-0.0031937152059311135
2023-08-30,3.1091,3.124673111662449,3.121371504454717,3.1239,-0.012271504454716808,-0.014799999999999702,0.0002474522271176341,-0.0033016072077322557
2023-08-31,3.112,3.1101759747608564,3.109853629459225,3.1091,0.0021463705407751554,0.0028999999999999027,0.0003460128722242233,-0.00032234530163165057
2023-09-01,3.1167,3.111835966883263,3.1082717252094154,3.112,0.008428274790584389,0.004699999999999704,-5.2711259630839753e-05,-0.0035642416738476397
2023-09-04,3.1263,3.1173307328815976,3.113298893168085,3.1167,0.01300110683191491,0.009600000000000275,0.00020235154774674195,-0.004031839713512218
2023-09-05,3.14015,3.1270211749650176,3.1218825908571826,3.1263,0.01826740914281766,0.01385000000000014,0.00023065342336879032,-0.005138584107835208
2023-09-06,3.1422,3.141422388387222,3.132690295660965,3.14015,0.009509704339035085,0.002049999999999663,0.00040511780361731666,-0.008732092726256867
2023-09-07,3.14695,3.1426832569932586,3.1353657878759837,3.1422,0.011584212124016169,0.004750000000000032,0.0001537839207032518,-0.007317469117274758
2023-09-08,3.14035,3.147301010224349,3.141990665213892,3.14695,-0.0016406652138916122,-0.006599999999999717,0.00011153359602066726,-0.005310345010457406
2023-09-11,3.1365,3.1411203695989984,3.1396496919266967,3.14035,-0.003149691926696896,-0.003850000000000353,0.00024528320839939426,-0.001470677672301869
2023-09-12,3.14275,3.1381492944583047,3.1375077974558714,3.1365,0.005242202544128549,0.006250000000000089,0.0005257009336744553,-0.0006414970024331509
2023-09-13,3.139,3.1444320443740663,3.142926608927397,3.14275,-0.003926608927397268,-0.003750000000000142,0.0005350710071142609,-0.0015054354466693429
2023-09-14,3.1543,3.14063477922948,3.1400263369840435,3.139,0.014273663015956561,0.015300000000000313,0.0005206606192506408,-0.0006084422454364698
2023-09-15,3.15365,3.157175146384108,3.149867132029843,3.1543,0.0037828679701568113,-0.0006500000000002615,0.0009110854487442086,-0.007308014354264877
2023-09-18,3.15425,3.1541803809971887,3.1517382402728176,3.15365,0.0025117597271826497,0.000600000000000378,0.00016816590377454182,-0.0024421407243711115
2023-09-19,3.1492,3.1554486773725032,3.1548196912044104,3.15425,-0.005619691204410415,-0.005050000000000221,0.0003799475848891708,-0.0006289861680929272
2023-09-20,3.14455,3.15003265337528,3.150335934422271,3.1492,-0.0057859344222706,-0.004649999999999821,0.0002643666065209698,0.0003032810469909364
2023-09-21,3.1594,3.145418392377909,3.148752310215151,3.14455,0.010647689784849312,0.01485000000000003,0.0002761197924233496,0.0033339178372417864
2023-09-22,3.15625,3.1596343131731617,3.1614046071499105,3.1594,-0.005154607149910451,-0.003150000000000208,7.416107008026518e-05,0.0017702939767489567
2023-09-25,3.17045,3.156369126487142,3.1602638199657638,3.15625,0.010186180034236436,0.014200000000000212,3.7742333180171175e-05,0.003894693478621736
2023-09-26,3.17255,3.172617256512559,3.1753167568935985,3.17045,-0.002766756893598288,0.0020999999999999908,0.0006833465606625381,0.0026995003810397064
